Hz;GainL;GainR;;GainL;GainR;;;GainL;GainR;<- Original Val
1682.79;0.26887094;0.2282206;;0.00202494;0.0346106;;;0.266846;0.19361;
1782.5;0.3248031;0.305036;;0.0246171;0.039091;;;0.300186;0.265945;
1888.12;0.2228003;0.1951838;;0.0106413;0.0375478;;;0.212159;0.157636;
2000;0.2670008;0.2223603;;0.0078438;0.0352633;;;0.259157;0.187097;
2118.51;0.16776785;0.1687972;;0.00845985;0.0368822;;;0.159308;0.131915;
2244.04;0.2610073;0.192038;;0.0104743;0.035444;;;0.250533;0.156594;
2377;0.10384083;0.154558;;0.00209883;0.034983;;;0.101742;0.119575;
2517.85;0.16476202;0.155912;;0.00130002;0.035962;;;0.163462;0.11995;
2667.04;0.19049773;0.1739659;;0.00252473;0.0341369;;;0.187973;0.139829;
2825.08;0.22383399;0.160347;;0.00182099;0.036117;;;0.222013;0.12423;
2992.47;0.08904622;0.217673;;0.00161932;0.036807;;;0.0874269;0.180866;
3169.79;0.17168757;0.1683676;;0.00135557;0.0349136;;;0.170332;0.133454;
3357.61;0.18044793;0.174473;;0.00103693;0.034072;;;0.179411;0.140401;
3556.56;0.14573308;0.2405171;;0.00119908;0.0348771;;;0.144534;0.20564;
3767.3;0.16104716;0.1765553;;0.00136216;0.0366203;;;0.159685;0.139935;
3990.52;0.162559011;0.1155843;;0.000918011;0.0349398;;;0.161641;0.0806445;
4226.98;0.16698462;0.129787;;0.00131362;0.0357879;;;0.165671;0.0939991;
4477.44;0.133209114;0.1416441;;0.000922114;0.0360771;;;0.132287;0.105567;
4742.75;0.1434676;0.1548012;;0.0012596;0.0364382;;;0.142208;0.118363;
5023.77;0.077330699;0.2791432;;0.000759699;0.0343032;;;0.076571;0.24484;
5321.45;0.08759758;0.2929181;;0.00351138;0.0366221;;;0.0840862;0.256296;
5636.77;0.132477284;0.138842;;0.000927284;0.037173;;;0.13155;0.101669;
5970.77;0.17429351;0.2843309;;0.00184851;0.0354409;;;0.172445;0.24889;
6324.56;0.11601314;0.2995983;;0.00389314;0.0350923;;;0.11212;0.264506;
6699.31;0.09864197;0.3065274;;0.00170437;0.0371324;;;0.0969376;0.269395;
7096.27;0.06750167;0.1163644;;0.00346117;0.0360752;;;0.0640405;0.0802892;
7516.75;0.07767785;0.0987994;;0.00112555;0.0356473;;;0.0765523;0.0631521;
7962.14;0.0803886;0.0750545;;0.0015786;0.035059;;;0.07881;0.0399955;
8433.93;0.001656287;0.0714104;;0.000789802;0.0347656;;;0.000866485;0.0366448;
8933.67;0.002076995;0.0722221;;0.00116221;0.0353714;;;0.000914785;0.0368507;
9463.03;0.00358987;0.0738445;;0.00201518;0.0338394;;;0.00157469;0.0400051;
10023.7;0.00224464;0.0715987;;0.00106281;0.0354432;;;0.00118183;0.0361555;
10617.7;0.01527682;0.0751535;;0.00124042;0.0360147;;;0.0140364;0.0391388;
11246.8;0.00311467;0.0731783;;0.00103332;0.0365252;;;0.00208135;0.0366531;
11913.2;0.002471688;0.0740315;;0.000848808;0.0356296;;;0.00162288;0.0384019;
12619.1;0.00232069;0.0743927;;0.00112067;0.0354109;;;0.00120002;0.0389818;
13366.9;0.002745714;0.0725763;;0.000775044;0.036107;;;0.00197067;0.0364693;
14158.9;0.002510266;0.0742794;;0.000836616;0.0348257;;;0.00167365;0.0394537;
14997.9;0.003881018;0.0705916;;0.000602728;0.0343774;;;0.00327829;0.0362142;
15886.6;0.003140045;0.0722619;;0.000989525;0.0374983;;;0.00215052;0.0347636;
16827.9;0.0031121;0.0646388;;0.00112755;0.0364582;;;0.00198455;0.0281806;
17825;0.00397582;0.0597459;;0.00107398;0.0338385;;;0.00290184;0.0259074;
18881.2;0.00409197;0.0582847;;0.00065217;0.0359735;;;0.0034398;0.0223112;
20000;0.004065063;0.067498;;0.000814453;0.0362469;;;0.00325061;0.0312511;
