Hz,GainL,GainR
20,0.10436,0.0850606
21.1851,0.105511,0.0887853
22.4404,0.091722,0.0659445
23.77,0.0971104,0.0782654
25.1785,0.122928,0.105407
26.6704,0.147696,0.112705
28.2508,0.148597,0.128469
29.9247,0.144673,0.109647
31.6979,0.143361,0.11859
33.5761,0.136487,0.116117
35.5656,0.151575,0.127345
37.673,0.103039,0.0946293
39.9052,0.0887274,0.0905865
42.2698,0.151284,0.0967012
44.7744,0.246439,0.182472
47.4275,0.22109,0.199751
50.2377,0.184799,0.159237
53.2145,0.16612,0.128786
56.3677,0.14954,0.112415
59.7077,0.13231,0.110727
63.2456,0.132881,0.103402
66.9931,0.13009,0.0998137
70.9627,0.120264,0.0845156
75.1675,0.121684,0.0994228
79.6214,0.125538,0.109644
84.3393,0.15376,0.124714
89.3367,0.138888,0.119377
94.6302,0.140062,0.117133
100.237,0.140604,0.127244
106.177,0.19459,0.158497
112.468,0.171143,0.134664
119.132,0.223516,0.181559
126.191,0.198539,0.160403
133.669,0.181017,0.148845
141.589,0.148107,0.125583
149.979,0.144558,0.125078
158.866,0.136692,0.117041
168.279,0.179547,0.141077
178.25,0.234855,0.190397
188.812,0.185591,0.130458
200,0.170042,0.126553
211.851,0.0457919,0.0451916
224.404,0.213681,0.18297
237.7,0.069302,0.0605105
251.785,0.22727,0.19026
266.704,0.134776,0.124794
282.508,0.107149,0.0679666
299.247,0.175365,0.118152
316.979,0.243223,0.172207
335.761,0.153874,0.126672
355.656,0.251113,0.192077
376.73,0.209049,0.171692
399.052,0.29253,0.262003
422.698,0.243755,0.214649
447.744,0.239603,0.211995
474.275,0.233265,0.203667
502.377,0.0471198,0.055343
532.145,0.087058,0.0894259
563.677,0.199782,0.10965
597.077,0.174187,0.118204
632.456,0.0711304,0.0437974
669.931,0.220617,0.17833
709.627,0.0422796,0.050982
751.675,0.121966,0.0991948
796.214,0.0431097,0.0521547
843.393,0.0447963,0.0479706
893.367,0.0486888,0.0581621
946.302,0.0789278,0.0580002
1002.37,0.0513273,0.0477941
1061.77,0.0196227,0.0405483
1124.68,0.036093,0.0469548
1191.32,0.0292212,0.0366636
1261.91,0.0350579,0.0387191
1336.69,0.0154267,0.0365555
1415.89,0.00759393,0.0354532
1499.79,0.0156935,0.0377713
1588.66,0.00394059,0.0351098
1682.79,0.00202494,0.0346106
1782.5,0.0246171,0.039091
1888.12,0.0106413,0.0375478
2000,0.0078438,0.0352633
2118.51,0.00845985,0.0368822
2244.04,0.0104743,0.035444
2377,0.00209883,0.034983
2517.85,0.00130002,0.035962
2667.04,0.00252473,0.0341369
2825.08,0.00182099,0.036117
2992.47,0.00161932,0.036807
3169.79,0.00135557,0.0349136
3357.61,0.00103693,0.034072
3556.56,0.00119908,0.0348771
3767.3,0.00136216,0.0366203
3990.52,0.000918011,0.0349398
4226.98,0.00131362,0.0357879
4477.44,0.000922114,0.0360771
4742.75,0.0012596,0.0364382
5023.77,0.000759699,0.0343032
5321.45,0.00351138,0.0366221
5636.77,0.000927284,0.037173
5970.77,0.00184851,0.0354409
6324.56,0.00389314,0.0350923
6699.31,0.00170437,0.0371324
7096.27,0.00346117,0.0360752
7516.75,0.00112555,0.0356473
7962.14,0.0015786,0.035059
8433.93,0.000789802,0.0347656
8933.67,0.00116221,0.0353714
9463.03,0.00201518,0.0338394
10023.7,0.00106281,0.0354432
10617.7,0.00124042,0.0360147
11246.8,0.00103332,0.0365252
11913.2,0.000848808,0.0356296
12619.1,0.00112067,0.0354109
13366.9,0.000775044,0.036107
14158.9,0.000836616,0.0348257
14997.9,0.000602728,0.0343774
15886.6,0.000989525,0.0374983
16827.9,0.00112755,0.0364582
17825,0.00107398,0.0338385
18881.2,0.00065217,0.0359735
20000,0.000814453,0.0362469
