Hz,GainL,GainR
20,0.00558608,0.0281268
21.1851,0.00436782,0.0327744
22.4404,0.00671445,0.0349308
23.77,0.00653889,0.0356654
25.1785,0.00619966,0.0384503
26.6704,0.00871119,0.0398722
28.2508,0.0129857,0.0338459
29.9247,0.0163895,0.0404195
31.6979,0.0145224,0.038371
33.5761,0.0152619,0.036717
35.5656,0.0206099,0.0390665
37.673,0.0160267,0.0350346
39.9052,0.022392,0.036299
42.2698,0.018679,0.0475338
44.7744,0.0377707,0.0390411
47.4275,0.0491323,0.0707313
50.2377,0.0471911,0.0567687
53.2145,0.0405299,0.0309498
56.3677,0.0380087,0.0482673
59.7077,0.044567,0.0327961
63.2456,0.0713289,0.0717109
66.9931,0.0867991,0.0894608
70.9627,0.11676,0.0906822
75.1675,0.115389,0.0800683
79.6214,0.118243,0.0923883
84.3393,0.137889,0.123576
89.3367,0.178356,0.150189
94.6302,0.183377,0.158356
100.237,0.182756,0.156719
106.177,0.279943,0.242703
112.468,0.247093,0.217965
119.132,0.321139,0.300738
126.191,0.310222,0.303896
133.669,0.192694,0.1526
141.589,0.228953,0.193173
149.979,0.220177,0.180708
158.866,0.165909,0.14001
168.279,0.261894,0.211529
178.25,0.289758,0.275102
188.812,0.239831,0.197895
200,0.25928,0.211108
211.851,0.274764,0.229162
224.404,0.253801,0.233884
237.7,0.137214,0.121081
251.785,0.209227,0.17322
266.704,0.253508,0.236641
282.508,0.194964,0.157227
299.247,0.2183,0.141385
316.979,0.304493,0.272771
335.761,0.31611,0.288383
355.656,0.300384,0.276617
376.73,0.31294,0.283115
399.052,0.289774,0.28279
422.698,0.326088,0.298713
447.744,0.31668,0.280831
474.275,0.307857,0.293961
502.377,0.130247,0.120409
532.145,0.310582,0.285289
563.677,0.258204,0.240404
597.077,0.312021,0.271444
632.456,0.295309,0.289169
669.931,0.31966,0.28423
709.627,0.182644,0.168914
751.675,0.291534,0.251785
796.214,0.166955,0.201612
843.393,0.293402,0.263354
893.367,0.157633,0.120948
946.302,0.307653,0.277365
1002.37,0.307779,0.281085
1061.77,0.253342,0.222076
1124.68,0.19122,0.179821
1191.32,0.288196,0.22393
1261.91,0.248285,0.244861
1336.69,0.272874,0.202513
1415.89,0.115071,0.176119
1499.79,0.260783,0.114973
1588.66,0.240054,0.180289
1682.79,0.266846,0.19361
1782.5,0.300186,0.265945
1888.12,0.212159,0.157636
2000,0.259157,0.187097
2118.51,0.159308,0.131915
2244.04,0.250533,0.156594
2377,0.101742,0.119575
2517.85,0.163462,0.11995
2667.04,0.187973,0.139829
2825.08,0.222013,0.12423
2992.47,0.0874269,0.180866
3169.79,0.170332,0.133454
3357.61,0.179411,0.140401
3556.56,0.144534,0.20564
3767.3,0.159685,0.139935
3990.52,0.161641,0.0806445
4226.98,0.165671,0.0939991
4477.44,0.132287,0.105567
4742.75,0.142208,0.118363
5023.77,0.076571,0.24484
5321.45,0.0840862,0.256296
5636.77,0.13155,0.101669
5970.77,0.172445,0.24889
6324.56,0.11212,0.264506
6699.31,0.0969376,0.269395
7096.27,0.0640405,0.0802892
7516.75,0.0765523,0.0631521
7962.14,0.07881,0.0399955
8433.93,0.000866485,0.0366448
8933.67,0.000914785,0.0368507
9463.03,0.00157469,0.0400051
10023.7,0.00118183,0.0361555
10617.7,0.0140364,0.0391388
11246.8,0.00208135,0.0366531
11913.2,0.00162288,0.0384019
12619.1,0.00120002,0.0389818
13366.9,0.00197067,0.0364693
14158.9,0.00167365,0.0394537
14997.9,0.00327829,0.0362142
15886.6,0.00215052,0.0347636
16827.9,0.00198455,0.0281806
17825,0.00290184,0.0259074
18881.2,0.0034398,0.0223112
20000,0.00325061,0.0312511
